id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017
100100,839,750,803,773,745,699
100200,889,904,859,913,868,745
100300,2656,2788,2777,2680,2728,2526
100400,1411,1552,1700,1848,1862,1781
100500,2061,2043,2592,2485,2553,2530
100601,1067,1105,1024,1059,1154,1050
100602,1374,1363,1230,1293,1293,1187
100700,512,472,589,506,634,679
100800,1444,1445,1423,1468,1267,1159
100900,1152,1191,1200,1021,1177,1448
101001,2462,2288,2177,2072,2001,2017
101002,1561,1719,1704,1775,1696,1600
101101,1132,1156,1139,1318,1418,1553
101102,4087,4115,4018,3902,3906,3533
101103,1338,1310,1256,1344,1440,1369
101201,1053,916,975,1003,922,929
101202,1610,1671,1567,1690,2034,2055
101303,4086,4298,4997,5347,5250,5589
101304,2995,2939,3043,3187,2764,2667
101305,1696,1867,1991,1810,2262,2411
101306,2390,2396,2427,2909,2821,2741
101307,1208,1116,1151,1222,1195,1204
101400,3137,3268,3419,3660,3709,3723
101500,3978,3735,3700,3439,3714,3659
101600,2481,2551,2647,2700,2790,3045
101700,3962,3869,3939,4064,4016,4038
101802,5030,5034,4758,4928,5013,5280
101803,3316,3504,3579,3321,3127,3275
101804,3187,3222,3265,3178,3492,3548
101902,1221,1334,1337,1376,1295,1234
101903,3917,4324,4115,4163,4272,4316
101904,1017,1346,1340,1624,1840,1953
102001,1955,2305,2497,2457,2653,2607
102002,3023,3577,3538,3891,4413,4464
102003,2569,2731,3001,3228,3322,3407
102004,2253,2350,2501,2531,2777,2902
102005,2284,2401,2839,2716,2527,2866
102006,2627,2740,3010,3523,3748,4163
980100,83,139,198,253,250,244
