STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"47","125","101500","47125101500","1015",Census Tract 1015,G5020,S,"178801127","2715791","+36.4938519","-087.5283139"
"47","125","101103","47125101103","1011.03",Census Tract 1011.03,G5020,S,"13573843","227058","+36.5321104","-087.4240761"
"47","125","100900","47125100900","1009",Census Tract 1009,G5020,S,"7445598","241424","+36.5486263","-087.3721135"
"47","125","101102","47125101102","1011.02",Census Tract 1011.02,G5020,S,"14065116","24254","+36.5588398","-087.4377024"
"47","125","101802","47125101802","1018.02",Census Tract 1018.02,G5020,S,"136430472","1092361","+36.4499522","-087.2425710"
"47","125","101600","47125101600","1016",Census Tract 1016,G5020,S,"83542568","2694274","+36.4747906","-087.3843419"
"47","125","101700","47125101700","1017",Census Tract 1017,G5020,S,"362665464","3314576","+36.4009109","-087.4253181"
"47","125","101400","47125101400","1014",Census Tract 1014,G5020,S,"18356047","0","+36.6193887","-087.4549314"
"47","125","100100","47125100100","1001",Census Tract 1001,G5020,S,"1210603","77472","+36.5275467","-087.3558995"
"47","125","100500","47125100500","1005",Census Tract 1005,G5020,S,"7447849","167664","+36.5063974","-087.3060324"
"47","125","102004","47125102004","1020.04",Census Tract 1020.04,G5020,S,"6831609","3472","+36.6347277","-087.3424491"
"47","125","101803","47125101803","1018.03",Census Tract 1018.03,G5020,S,"25898355","15392","+36.4960535","-087.1952491"
"47","125","101804","47125101804","1018.04",Census Tract 1018.04,G5020,S,"72477337","266605","+36.5159417","-087.1787721"
"47","125","101903","47125101903","1019.03",Census Tract 1019.03,G5020,S,"27483219","205583","+36.5601919","-087.2763298"
"47","125","101904","47125101904","1019.04",Census Tract 1019.04,G5020,S,"107599143","92813","+36.5832431","-087.1920783"
"47","125","980100","47125980100","9801",Census Tract 9801,G5020,S,"156319316","185782","+36.5918548","-087.5496662"
"47","125","101306","47125101306","1013.06",Census Tract 1013.06,G5020,S,"6158019","0","+36.5922151","-087.3933071"
"47","125","101305","47125101305","1013.05",Census Tract 1013.05,G5020,S,"15914305","0","+36.6111459","-087.3870708"
"47","125","102002","47125102002","1020.02",Census Tract 1020.02,G5020,S,"15464578","0","+36.5962889","-087.3388070"
"47","125","100200","47125100200","1002",Census Tract 1002,G5020,S,"2554805","196351","+36.5152365","-087.3641748"
"47","125","100602","47125100602","1006.02",Census Tract 1006.02,G5020,S,"2710186","0","+36.5171937","-087.2924598"
"47","125","100700","47125100700","1007",Census Tract 1007,G5020,S,"2299817","0","+36.5271978","-087.3340849"
"47","125","100800","47125100800","1008",Census Tract 1008,G5020,S,"3919141","109229","+36.5369468","-087.3542982"
"47","125","101101","47125101101","1011.01",Census Tract 1011.01,G5020,S,"2301120","0","+36.5677048","-087.4117097"
"47","125","101002","47125101002","1010.02",Census Tract 1010.02,G5020,S,"7332810","0","+36.5719960","-087.3718967"
"47","125","100601","47125100601","1006.01",Census Tract 1006.01,G5020,S,"6613313","5314","+36.5248983","-087.3062545"
"47","125","101902","47125101902","1019.02",Census Tract 1019.02,G5020,S,"7361273","0","+36.5401941","-087.3125457"
"47","125","102006","47125102006","1020.06",Census Tract 1020.06,G5020,S,"26713521","21629","+36.6270078","-087.2634607"
"47","125","101307","47125101307","1013.07",Census Tract 1013.07,G5020,S,"1904706","0","+36.5817502","-087.4007817"
"47","125","101202","47125101202","1012.02",Census Tract 1012.02,G5020,S,"7522623","0","+36.5871778","-087.4385433"
"47","125","101303","47125101303","1013.03",Census Tract 1013.03,G5020,S,"7390684","761","+36.6363089","-087.3994510"
"47","125","102005","47125102005","1020.05",Census Tract 1020.05,G5020,S,"12044478","0","+36.6013807","-087.3043063"
"47","125","102003","47125102003","1020.03",Census Tract 1020.03,G5020,S,"7046269","0","+36.6201653","-087.3445281"
"47","125","100400","47125100400","1004",Census Tract 1004,G5020,S,"3871787","61432","+36.5106265","-087.3370940"
"47","125","101001","47125101001","1010.01",Census Tract 1010.01,G5020,S,"4156725","0","+36.5654174","-087.3938295"
"47","125","100300","47125100300","1003",Census Tract 1003,G5020,S,"10757537","360726","+36.4962685","-087.3608859"
"47","125","102001","47125102001","1020.01",Census Tract 1020.01,G5020,S,"13737362","0","+36.5645258","-087.3336690"
"47","125","101201","47125101201","1012.01",Census Tract 1012.01,G5020,S,"2440091","0","+36.5783393","-087.4255501"
"47","125","101304","47125101304","1013.04",Census Tract 1013.04,G5020,S,"6067786","0","+36.6192239","-087.4208846"
